subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,maxdist_full,shift_added,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,min_hits,strict_tag
2,MT,9,1,0.005,6.20460319519043,10.188748359680176,3.984145164489746,18.84400986235006,11.348162890480591,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,0,193,0.965,2.350509206317031,6.521366740817617,4.170857534500585,17.24452894281013,8.809518867240978,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,1,154,0.77,2.769852142821076,6.845045583222502,4.075193440401426,17.24452894281013,8.809518867240978,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,2,43,0.215,3.318596915593223,7.23250314924452,3.9139062336512973,17.24452894281013,8.809518867240978,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,3,37,0.185,2.2374535610801294,6.928244628404316,4.690791067324187,17.24452894281013,8.809518867240978,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,6,14,0.07,2.7667140131411343,6.422874015310536,3.656160002169402,17.24452894281013,8.809518867240978,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,5,8,0.04,3.693349175983005,7.417957994672987,3.724608818689982,17.24452894281013,8.809518867240978,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PH,4,5,0.025,2.655659238497416,7.207528114318848,4.551868875821431,17.24452894281013,8.809518867240978,False,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,1,200,1.0,2.658512877298079,4.751034518549557,2.0925216412514778,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,0,194,0.97,2.2018423168747514,4.396746120008094,2.194903803133343,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,4,87,0.435,1.8087629079818726,4.186798106664899,2.378035198683026,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,8,71,0.355,1.5166858434677124,4.305807597200635,2.789121753732923,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,6,67,0.335,2.5197089609473644,4.466826125828907,1.9471171648815424,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,5,63,0.315,3.0446400023125983,5.025271632454612,1.9806316301420137,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,2,50,0.25,2.123620893016006,4.179350722919811,2.0557298299038047,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,9,36,0.18,2.2626475921043983,4.6899554423796825,2.4273078502752843,11.363306404160095,5.795761049793793,True,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,7,6,0.03,3.0065374741187463,4.789092540740967,1.7825550666222205,11.363306404160095,5.795761049793793,False,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,10,4,0.02,1.8087629079818726,4.4306944608688354,2.621931552886963,11.363306404160095,5.795761049793793,False,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,11,2,0.01,3.3083534240722656,5.002111117045085,1.693757692972819,11.363306404160095,5.795761049793793,False,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,3,1,0.005,2.037374973297119,4.066235542297363,2.028860569000244,11.363306404160095,5.795761049793793,False,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,12,1,0.005,2.9157657623291016,4.501397132873535,1.5856313705444336,11.363306404160095,5.795761049793793,False,200,0.8,0.05,10,0.02,10,STRICT2
2,STSva,13,1,0.005,3.555161237716675,5.130716323852539,1.5755550861358643,11.363306404160095,5.795761049793793,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,3,199,0.995,8.142020703133642,11.586626986469652,3.4446062833360096,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,5,185,0.925,7.847394631086569,10.974432066923878,3.1270374358373085,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,4,183,0.915,7.066913704373944,10.466358107544465,3.3994444031705227,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,2,134,0.67,6.813742659507541,11.445972162649172,4.63222950314163,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,1,105,0.525,5.0951385498046875,10.606717191423689,5.511578641619001,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,0,96,0.48,4.168641567230225,10.887031078338623,6.718389511108398,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,10,15,0.075,8.535981531496402,11.159237402456778,2.623255870960377,23.54661226372583,12.84049242834909,True,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,7,9,0.045,7.792242873798717,10.445364778692072,2.653121904893355,23.54661226372583,12.84049242834909,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,8,4,0.02,5.0951385498046875,11.223114967346191,6.127976417541504,23.54661226372583,12.84049242834909,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,9,4,0.02,8.264588952064514,12.225405931472778,3.960816979408264,23.54661226372583,12.84049242834909,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,6,3,0.015,4.168641567230225,10.753681182861328,6.5850396156311035,23.54661226372583,12.84049242834909,False,200,0.8,0.05,10,0.02,10,STRICT2
2,PIT,11,2,0.01,9.23586654663086,11.76925802230835,2.5333914756774902,23.54661226372583,12.84049242834909,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,2,198,0.99,1.6233952987484817,4.700410375362489,3.077015076614008,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,1,161,0.805,1.107180165757034,4.392103703048592,3.284923537291559,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,0,117,0.585,0.842112455404166,4.70440947166597,3.8622970162618038,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,4,81,0.405,1.1458666324615479,5.061861927126661,3.915995294665113,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,3,70,0.35,2.1034551231066385,4.887860078811645,2.784404955705007,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,6,36,0.18,2.5784021966597614,5.31209519330193,2.733692996642169,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,5,34,0.17,2.306543522614699,5.009818055079534,2.7032745324648344,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,10,32,0.16,1.3842336870729923,4.595643952488899,3.211410265415907,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,11,28,0.14,1.6276088295311764,5.051028892911714,3.4234200633805374,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,7,26,0.13,1.7335663951676468,4.439312260726402,2.7057458655587556,13.06757852535112,6.216538519667221,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,8,6,0.03,2.7285810708999634,5.469706137975057,2.7411250670750937,13.06757852535112,6.216538519667221,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V1,9,1,0.005,2.889880418777466,5.444617748260498,2.5547373294830322,13.06757852535112,6.216538519667221,False,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,0,200,1.0,2.9612501438926246,4.963014589374649,2.001764445482024,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,2,199,0.995,2.5820994724478714,4.5557771774464655,1.9736777049985936,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,4,153,0.765,2.248704186257194,4.454681698013754,2.2059775117565605,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,3,127,0.635,1.8290185123530742,4.52022189416256,2.6912033818094865,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
3,V2,5,97,0.485,2.587356844333687,4.8960208555664675,2.3086640112327808,11.525164754198624,5.83051660756929,True,200,0.8,0.05,10,0.02,10,STRICT2
