subject,roi,cluster_id,hits,hit_rate,birth,death,persistence,robust,B,subsample_frac,persist_floor_frac,top_L,cluster_tol_frac,robust_hitrate_min,strict_tag,maxdist_full,shift_added
1,STSva,12,1,0.005,1.4754393100738525,3.1204257011413574,1.6449863910675049,False,200,0.8,0.05,10,0.012,0.8,STRICT2,10.600733430193497,4.448569179581238
1,PIT,1,198,0.99,6.342402318642603,11.812879468592422,5.4704771499498195,True,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,0,127,0.635,5.811238801131514,11.451758781858086,5.640519980726571,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,2,120,0.6,6.827205914471831,11.89872610781874,5.071520193346909,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,5,79,0.395,4.825232982635498,11.402498607394062,6.577265624758564,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,4,73,0.365,5.463740825653076,11.419013977050781,5.955273151397705,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,8,33,0.165,7.410954858575549,12.077998280525208,4.667043421949659,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,3,30,0.15,6.3544025701635025,11.398318459005917,5.043915888842414,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,7,28,0.14,6.2460940565381735,12.198081833975655,5.951987777437482,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,6,17,0.085,5.463740825653076,11.760669652153464,6.2969288265003875,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
1,PIT,10,12,0.06,6.824174404144287,12.38524055480957,5.561066150665283,False,200,0.8,0.05,10,0.012,0.8,STRICT2,27.281403482960297,14.05800385873182
